created,text,retwc,hashtag,followers,friends
2017-09-07 16:35:50,"b'RT @circleofblue: Outbreaks of diarrhea, malaria, and dengue hit South Asia after the region\xe2\x80\x99s worst floods in a decade. https://t.co/Wpvmg\xe2\x80\xa6'",1,None,938,2039
2017-09-07 16:35:47,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,5136,5057
2017-09-07 16:35:04,b'The only sickness that our medical doctors can work on comfortably in this country is Malaria/Typhoid. The rest you need God and Money',0,None,1476,847
2017-09-07 16:34:26,b'RT @AMike4761: Malaria Death of Four-Year-Old Girl in Italy Reignites Immigration Debate as Syrian Refugees bring disease- #fo2eu  https://\xe2\x80\xa6',189,fo2eu,1230,712
2017-09-07 16:34:23,b'RT @AMike4761: Malaria Death of Four-Year-Old Girl in Italy Reignites Immigration Debate as Syrian Refugees bring disease- #fo2eu  https://\xe2\x80\xa6',189,fo2eu,2524,2320
2017-09-07 16:34:09,"b'@chi_chibrown @funkeakindele Na Real malaria. Was it on the remix of ""I wanna rap right now""? \xf0\x9f\x98\x82\xf0\x9f\x98\x82'",1,None,135,179
2017-09-07 16:33:10,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,2028,5001
2017-09-07 16:33:08,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,579,714
2017-09-07 16:32:42,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,424,331
2017-09-07 16:32:40,b'RT @APLMA_Malaria: Prof Feiko of @LSTMnews talks about protecting pregnant women from drug resistant #malaria  https://t.co/JcMvN5v4O7 #end\xe2\x80\xa6',3,malaria,248,33
2017-09-07 16:31:53,"b""RT @IFRCAsiaPacific: Thousands hit by malaria, dengue as South Asia's worst #floods in a decade recede. https://t.co/2RGRp273vj @Reuters""",24,floods,394,95
2017-09-07 16:31:24,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,579,714
2017-09-07 16:31:22,b'New method for producing malaria treatment at large\xc2\xa0scales https://t.co/VLGZWyORKy',0,None,60,230
2017-09-07 16:30:51,b'RT @ALMA_2030: 29-year-old #Malaria Hunter Habiba Suleiman Sefu is leading the fight to #endMalaria in #Zanzibar https://t.co/pxSCxMSFgm ht\xe2\x80\xa6',2,Malaria,12,22
2017-09-07 16:30:20,b'RT @staywellworld: #HealthNewsFlash: #Malaria:- Italy treating death of girl as manslaughter.... #STAYWELLWORLD',1,HealthNewsFlash,1720,2530
2017-09-07 16:30:08,"b""RT @APHL: Thousands hit by malaria, dengue as South Asia's worst floods in a decade recede https://t.co/cSPPLcAMAL #NatlPrep""",3,NatlPrep,577,388
2017-09-07 16:29:45,b'Just commented on @thejournal_ie: Italy opens manslaughter inquiry after four-year-old dies from malaria - https://t.co/FCBoxrsra0',0,None,6,1
